Date,Year,NEI,PTER
1994-01-01,1994.0,10.0974,1.0746
1994-04-01,1994.25,9.6239,1.1644
1994-07-01,1994.5,9.3276,1.1555
1994-10-01,1994.75,9.1071,1.129
1995-01-01,1995.0,8.9693,1.2139
1995-04-01,1995.25,9.0314,1.0757
1995-07-01,1995.5,8.9802,1.1282
1995-10-01,1995.75,8.9932,1.1114
1996-01-01,1996.0,9.0002,1.0529
1996-04-01,1996.25,8.9038,1.0744
1996-07-01,1996.5,8.7627,1.1004
1996-10-01,1996.75,8.6554,1.0747
1997-01-01,1997.0,8.6661,1.0705
1997-04-01,1997.25,8.4915,1.0455
1997-07-01,1997.5,8.2957,1.008
1997-10-01,1997.75,8.2335,0.9734
1998-01-01,1998.0,8.1216,0.9753
1998-04-01,1998.25,7.9992,0.8931
1998-07-01,1998.5,8.1194,0.9451
1998-10-01,1998.75,8.0568,0.8367
1999-01-01,1999.0,7.8933,0.8208
1999-04-01,1999.25,8.1083,0.8105
1999-07-01,1999.5,7.8956,0.8248
1999-10-01,1999.75,7.7832,0.7578
2000-01-01,2000.0,7.6128,0.7251
2000-04-01,2000.25,7.6754,0.7445
2000-07-01,2000.5,7.6915,0.7543
2000-10-01,2000.75,7.6769,0.7423
2001-01-01,2001.0,7.757,0.7399
2001-04-01,2001.25,8.0353,0.7687
2001-07-01,2001.5,8.1444,0.8418
2001-10-01,2001.75,8.6782,0.9923
2002-01-01,2002.0,9.0119,0.9181
2002-04-01,2002.25,8.9295,0.9629
2002-07-01,2002.5,8.8508,0.9703
2002-10-01,2002.75,8.7184,0.9575
2003-01-01,2003.0,8.8809,1.0333
2003-04-01,2003.25,8.944,1.0781
2003-07-01,2003.5,9.0202,1.0675
2003-10-01,2003.75,8.9607,1.0354
2004-01-01,2004.0,8.791,1.0601
2004-04-01,2004.25,8.7244,1.01
2004-07-01,2004.5,8.6804,1.0042
2004-10-01,2004.75,8.6651,1.0368
2005-01-01,2005.0,8.5683,0.9704
2005-04-01,2005.25,8.5138,0.923
2005-07-01,2005.5,8.3727,0.9759
2005-10-01,2005.75,8.3971,0.93
2006-01-01,2006.0,8.289,0.889
2006-04-01,2006.25,8.3396,0.821
2006-07-01,2006.5,8.2011,0.9409
2006-10-01,2006.75,8.1316,0.955
2007-01-01,2007.0,8.1203,0.898
2007-04-01,2007.25,8.2629,0.8948
2007-07-01,2007.5,8.1828,0.9523
2007-10-01,2007.75,8.2687,0.9579
2008-01-01,2008.0,8.3326,1.0149
2008-04-01,2008.25,8.5176,1.0762
2008-07-01,2008.5,8.884,1.2873
2008-10-01,2008.75,9.2555,1.4335
2009-01-01,2009.0,10.2693,1.7446
2009-04-01,2009.25,10.7082,1.8415
2009-07-01,2009.5,10.8089,1.9315
2009-10-01,2009.75,10.9698,1.8859
2010-01-01,2010.0,10.9054,1.8257
2010-04-01,2010.25,10.6597,1.9067
2010-07-01,2010.5,10.5521,1.8376
2010-10-01,2010.75,10.5856,1.8473
2011-01-01,2011.0,10.5024,1.7993
2011-04-01,2011.25,10.4409,1.8061
2011-07-01,2011.5,10.4856,1.7651
2011-10-01,2011.75,10.3287,1.7927
2012-01-01,2012.0,10.0687,1.7286
2012-04-01,2012.25,10.0384,1.6387
2012-07-01,2012.5,10.051,1.6808
2012-10-01,2012.75,9.8582,1.6805
2013-01-01,2013.0,10.0805,1.6629
2013-04-01,2013.25,9.8309,1.6253
2013-07-01,2013.5,9.6416,1.6477
2013-10-01,2013.75,9.6358,1.6298
2014-01-01,2014.0,9.2941,1.4796
2014-04-01,2014.25,9.1499,1.5131
2014-07-01,2014.5,9.1132,1.4866
2014-10-01,2014.75,8.9813,1.4345
2015-01-01,2015.0,8.9135,1.3675
2015-04-01,2015.25,8.8386,1.3097
2015-07-01,2015.5,8.6847,1.2319
2015-10-01,2015.75,8.665,1.1735
2016-01-01,2016.0,8.433,1.1844
2016-04-01,2016.25,8.54,1.1746
