Word,Average Proportion (Comedy),Average Proportion (Thriller)
she,0.003886764287137125,0.003914267441046216
decid,0.00013721351595847065,0.0001434840300913863
talk,0.001699763274406466,0.0018693289747843689
wit,5.963932051118346e-05,9.747982757624262e-05
razor,7.615105578606014e-06,1.6006745036229534e-05
slam,5.031863435662374e-06,1.2290349292170885e-05
credit,7.273315119774643e-05,4.5122378311618136e-05
rai,0.00011891420973209749,0.00015831891832047805
hugh,8.416258933925562e-06,1.2086570192552744e-05
breez,3.235145135067669e-06,1.4373801422932066e-05
conscienc,1.2227195513073525e-05,2.2875454662786092e-05
audienc,5.136526757197218e-05,1.880677816546835e-05
cathi,1.17151713812406e-06,2.0559621699213077e-05
log,6.164343339691729e-06,3.5274516463576375e-05
met,0.00026932670874735547,0.00023466925903269112
chosen,2.0895137447888722e-05,1.0404253885557806e-05
grip,3.099205928620526e-05,2.0204174513652767e-05
booz,1.2132315617696222e-05,1.1169496980378059e-05
bianca,2.243524067778346e-05,0.0
doubl,7.000089735190698e-05,6.509665247053397e-05
agent,8.14389664967124e-05,0.00023845555305294854
exit,9.625763112741102e-06,2.7875671184964554e-05
carpent,1.9425886597030825e-05,3.9730921733162446e-05
underground,1.5205497857184961e-05,2.0199261998364557e-05
clemenza,0.0,9.656134490743461e-06
gain,2.69222977024874e-05,2.813422130836796e-05
neg,4.890038054680877e-05,4.323214738482424e-05
majesti,3.055056221518196e-05,4.858211084178903e-06
studio,3.20552845786e-05,2.195467455394725e-05
chri,1.4500912847866917e-05,1.8097479689227006e-05
spin,1.547555403830377e-05,1.2950335675613924e-05
greater,1.3808315790097745e-05,1.6805856356762448e-05
eaten,1.4930340756571007e-05,1.1462624599278895e-05
vibrat,1.0483893039736844e-05,6.090302060580169e-06
stupid,0.0003195372822222102,0.00021106068113037048
cigarett,5.711286568262531e-05,7.153566828929834e-05
jesu,0.00027665676984253533,0.0003596375798068991
mani,0.00038837812280893803,0.0004420883434314527
violin,2.337900640928045e-05,4.518949785544304e-06
financi,4.3470403199272935e-05,1.3958203907938819e-05
bai,1.7982493226581036e-05,5.265067311416708e-05
cop,9.74085926438052e-05,0.000332006334137995
neighbor,5.859659359734586e-05,5.399364286696792e-05
cd,1.7068329834784963e-05,1.310103863838146e-05
england,3.358960189856091e-05,1.2167182033209284e-05
made,0.000619488393546691,0.0005790161156887464
conni,1.909389823498496e-06,1.4766230325042617e-05
