crn,age,da_cert,ds_deg,us,math_ed_exp,prior_python,prior_programming,bird_owl,cat_dog,assignment_time,getting_help,career_change,commute_time,friends,work_hours,zipcode,num_countries,movie_genres,ed_level,vet,social,assignment_hours,assignment_days,berkeley,seq_length,frisco_perc,prior_stats,course_units,starting_salaray,bacon_games,park_annual_freq,math_108_prep,sports,public_transit_freq,first_semester,cert_degree,study_space,language_num,wake_up_time,reaction_time_ms,bday,self_care,study_groups,course_challenge,se_status,in_persion,course_support,decision_intuition,decision_priority,daily_life,finger_length_mm,ovd_length,sleep_time
70950,49.0,Maybe,Maybe,Yes,3.0,Yes,3,,Dogs,15,5,Yes,00:40:00,3.0,40.0,94122.0,3.0,"Horror, Romantic, Thrillers",Bachelor’s degree,No,Alone,"10 am - 2 pm, 6 pm - 10 pm","Saturday, Sunday","No, and I don't plan to transfer to UCB",13.0,9,5,12.0,70000.0,GAMES. UNLIMITED GAMES. BUT NO GAMES.,7,3.0,No,10.0,No,Continuing Education.,3,1,6:00:00 AM,481.0,29-Aug,"Physical, Emotional, Other",Yes,Becoming familiar with Jupyter and understanding Python,Low,Conflict with work schedule.,"Virtual Math Lab Tutor, Virtual UC Berkeley Ambassadors",Concrete facts and details,Impact on people and emotions,Structured and organized,75.0,80.0,10:00:00 PM
70950,22.0,Maybe,Maybe,No,3.0,Yes,2,,Cats,3,9,No,01:00:00,4.0,24.0,94534.0,25.0,"Comedies, Horror, Romantic",Some college but not a degree,No,With a group,"6 pm - 10 pm, 10 pm - 2 am","Monday, Sunday",Yes,7.0,1,2,17.0,80.0,GAMES. UNLIMITED GAMES. BUT NO GAMES.,1,1.0,No,7.0,No,Molecular cellular Biology and Publci Health,5,2,8:00:00 AM,6.0,21-Apr,"Physical, Emotional, Mental",Yes,The statistics,Low,In-person,"In-person Math Lab Tutor, Virtual Math Lab Tutor, Instructor, CS Tutor Squad, Virtual UC Berkeley Ambassadors, Discord",Concrete facts and details,Impact on people and emotions,Flexible and adaptable,3.0,5.0,2:00:00 AM
70950,38.0,Maybe,Yes,No,4.0,No,3,,Cats,7,5,Yes,00:25:00,5.0,40.0,94618.0,15.0,"Comedies, Documentaries, Dramas",Advanced degree,Yes,Alone,"6 am - 10 am, 6 pm - 10 pm","Tuesday, Saturday","No, and I don't plan to transfer to UCB",8.0,1,2,5.0,100000.0,GAMES. UNLIMITED GAMES. BUT NO GAMES.,10,2.0,Yes,10.0,No,Continuing Education,5,3,5:30:00 AM,253.0,2-Jun,"Physical, Mental",Maybe,Time management ,Middle,"Working full time, schedule isn’t ideal",Web Search,Gut feelings and possibilities,Impact on people and emotions,Flexible and adaptable,70.0,70.0,10:00:00 PM
70949,38.0,No,No,Yes,1.0,No,3,,Both,10,10,Yes,01:00:00,1.0,40.0,94612.0,10.0,"Documentaries, Dramas, Music",Associate degree,No,Alone,"6 am - 10 am, 10 am - 2 pm","Monday, Wednesday","No, and I don't plan to transfer to UCB",6.0,5,1,5.0,100000.0,"UNLIMTED BACON, BUT NO MORE GAMES.",50,1.0,No,2.0,No,"BA Creative Technologies, MS Computational Media",5,2,6:30:00 AM,292.0,3-Feb,"Physical, Emotional, Mental, Social, Spiritual",Yes,homework,Low,"i live in Oakland, it's not convenient to come here more than once a week. Especially with the amount of crime in Oakland. ","In-person Math Lab Tutor, Virtual Math Lab Tutor, Instructor, CS Tutor Squad, Virtual UC Berkeley Ambassadors, Discord",Gut feelings and possibilities,Impact on people and emotions,Flexible and adaptable,25.0,25.0,11:30:00 AM
70949,27.0,Yes,No,No,4.0,No,1,,Dogs,15,10,Yes,01:30:00,5.0,0.0,94030.0,17.0,"Action & Adventure, Comedies, Sci-fi & Fantasy",Bachelor’s degree,No,With a group,"2 pm - 6 pm, 6 pm - 10 pm","Monday, Sunday","No, and I don't plan to transfer to UCB",17.0,1,5,12.0,200000.0,"UNLIMTED BACON, BUT NO MORE GAMES.",1,3.0,No,4.0,Yes,Data Analytics Fundamentals Certificate,5,2,9:00:00 AM,403.0,18-Jan,"Physical, Emotional, Mental, Social, Spiritual",Maybe,Making tables,Middle,Convenience in my schedule class,"In-person Math Lab Tutor, Virtual Math Lab Tutor, Instructor, CS Tutor Squad, Virtual UC Berkeley Ambassadors, Web Search",Concrete facts and details,Impact on people and emotions,Structured and organized,60.0,51.0,10:00:00 PM
70949,20.0,No,No,Yes,2.0,No,1,,Neither,15,10,No,00:15:00,3.0,15.0,94030.0,4.0,"Children & Family, Comedies, Documentaries",Advanced degree,No,Alone,"6 pm - 10 pm, 10 pm - 2 am","Monday, Sunday","No, but I want to transfer to UCB",11.0,10,10,24.0,0.0,"UNLIMTED BACON, BUT NO MORE GAMES.",30,1.0,No,0.0,No,AA-T Political Science,5,2,6:45:00 AM,357.0,21-Sep,"Emotional, Mental, Social, Spiritual, Other",Yes,Memorization,Middle,In person,"In-person Math Lab Tutor, Instructor, Virtual UC Berkeley Ambassadors",Gut feelings and possibilities,Logic and objectivity,Structured and organized,76.5,66.5,10:30:00 PM
70949,23.0,No,No,Yes,4.0,Yes,4,,Dogs,6,10,Yes,00:45:00,5.0,24.0,94116.0,2.0,"Action & Adventure, Anime, Sci-fi & Fantasy",Bachelor’s degree,No,Alone,"2 pm - 6 pm, 6 pm - 10 pm","Tuesday, Thursday","No, but I want to transfer to UCB",9.0,10,3,13.0,120000.0,GAMES. UNLIMITED GAMES. BUT NO GAMES.,3,2.0,Yes,4.0,No,physics masters degree,4,2,7:00:00 AM,250.0,17-Apr,Physical,Yes,"Learning the syntax for the code. Concepts shouldn't be too bad, but syntax will take a lot of time and practice",Middle,no time in my schedule,Discord,Concrete facts and details,Logic and objectivity,Structured and organized,71.12,88.9,10:00:00 AM
73040,23.0,No,No,No,3.0,Yes,6,,Dogs,10,6,No,01:30:00,2.0,0.0,94506.0,4.0,Classic,High school graduate,No,Alone,6 pm - 10 pm,"Monday, Wednesday","No, and I don't plan to transfer to UCB",0.0,5,5,12.0,0.0,GAMES. UNLIMITED GAMES. BUT NO GAMES.,1,5.0,Yes,11.0,Yes,real estate,3,0,9:00:00 AM,0.0,10-Nov,"Physical, Emotional, Mental",Maybe,discussions,Middle,IN-PERSON,"In-person Math Lab Tutor, Instructor, Web Search",Concrete facts and details,Impact on people and emotions,Flexible and adaptable,4.0,2.0,12:00:00 AM
70949,27.0,Yes,No,No,4.0,No,1,,Dogs,15,10,Yes,01:30:00,5.0,0.0,94030.0,17.0,"Action & Adventure, Comedies, Sci-fi & Fantasy",Bachelor’s degree,No,With a group,"2 pm - 6 pm, 6 pm - 10 pm","Monday, Sunday","No, and I don't plan to transfer to UCB",17.0,1,5,12.0,200000.0,"UNLIMTED BACON, BUT NO MORE GAMES.",1,3.0,No,4.0,Yes,Data Analytics Fundamentals Certificate,5,2,9:00:00 AM,403.0,18-Jan,"Physical, Emotional, Mental, Social, Spiritual",Maybe,Making tables,Middle,Convenience in my schedule class,"In-person Math Lab Tutor, Virtual Math Lab Tutor, Instructor, CS Tutor Squad, Virtual UC Berkeley Ambassadors, Web Search",Concrete facts and details,Impact on people and emotions,Structured and organized,60.0,51.0,10:00:00 PM
70950,,Maybe,Maybe,Yes,3.0,Yes,5,,Dogs,3,9,No,00:20:00,1.0,50.0,94112.0,20.0,"Action & Adventure, Dramas, Sports",Bachelor’s degree,No,Alone,"10 am - 2 pm, 6 pm - 10 pm","Saturday, Sunday","No, and I don't plan to transfer to UCB",11.0,3,9,13.0,,nan,2,8.0,No,0.0,No,CS,5,1,7:00:00 AM,251.0,nan,"Physical, Emotional, Mental",No,Attending in person,Middle,IN-PERSON,"An LLM like ChatGPT, Web Search",Gut feelings and possibilities,Logic and objectivity,Flexible and adaptable,,,12:00:00 AM
